episode : 30 | score_avg : -78.5331228797789 | loss : 20.77698516845703 | sigma : 0.9250916838645935 | done : True
episode : 31 | score_avg : -64.87981059180102 | loss : 14.227875709533691 | sigma : 0.9137814044952393 | done : True
episode : 32 | score_avg : -58.941829532620915 | loss : 14.342391967773438 | sigma : 0.90576171875 | done : True
episode : 33 | score_avg : -65.19764657935883 | loss : 0.42611944675445557 | sigma : 0.898029088973999 | done : False
episode : 34 | score_avg : -78.77788192142296 | loss : 0.038649074733257294 | sigma : 0.8688327074050903 | done : False
episode : 35 | score_avg : -91.00009372928068 | loss : 2.343918561935425 | sigma : 0.864604115486145 | done : False
episode : 36 | score_avg : -102.0000843563526 | loss : 1.3104736804962158 | sigma : 0.8663302659988403 | done : False
episode : 37 | score_avg : -111.90007592071734 | loss : 0.49931517243385315 | sigma : 0.8639936447143555 | done : False
episode : 38 | score_avg : -120.8100683286456 | loss : 0.2453511506319046 | sigma : 0.8567837476730347 | done : False
episode : 39 | score_avg : -128.82906149578105 | loss : 0.4590460956096649 | sigma : 0.8561680912971497 | done : False
episode : 40 | score_avg : -136.04615534620294 | loss : 0.4086342751979828 | sigma : 0.8333074450492859 | done : False
episode : 41 | score_avg : -121.44153981158264 | loss : 967.111328125 | sigma : 0.8273509740829468 | done : True
episode : 42 | score_avg : -127.14738583042438 | loss : 0.44629693031311035 | sigma : 0.8201493620872498 | done : False
episode : 43 | score_avg : -131.53264724738196 | loss : 0.19971948862075806 | sigma : 0.7813187837600708 | done : False
episode : 44 | score_avg : -117.37938252264377 | loss : 244.75059509277344 | sigma : 0.7788311243057251 | done : True
episode : 45 | score_avg : -125.2914442703794 | loss : 0.030821653082966805 | sigma : 0.7846884727478027 | done : False
episode : 46 | score_avg : -132.86229984334148 | loss : 0.39825204014778137 | sigma : 0.7857649326324463 | done : False
episode : 47 | score_avg : -139.67606985900733 | loss : 0.043749164789915085 | sigma : 0.7686556577682495 | done : False
episode : 48 | score_avg : -140.0584628731066 | loss : 0.3743320405483246 | sigma : 0.7471542954444885 | done : False
episode : 49 | score_avg : -144.80261658579593 | loss : 0.12976939976215363 | sigma : 0.7214243412017822 | done : False
episode : 50 | score_avg : -142.27235492721633 | loss : 0.7038995623588562 | sigma : 0.7160492539405823 | done : False
episode : 51 | score_avg : -148.1451194344947 | loss : -0.002354862866923213 | sigma : 0.7079451680183411 | done : False
episode : 52 | score_avg : -153.4306074910452 | loss : 0.11854105442762375 | sigma : 0.7183319926261902 | done : False
episode : 53 | score_avg : -157.1375467419407 | loss : 0.058263104408979416 | sigma : 0.7315590381622314 | done : False
episode : 54 | score_avg : -161.07379206774664 | loss : 0.026035986840724945 | sigma : 0.74885493516922 | done : False
episode : 55 | score_avg : -165.06641286097198 | loss : -0.003347287653014064 | sigma : 0.7814621329307556 | done : False
episode : 56 | score_avg : -166.7097715748748 | loss : 0.14416919648647308 | sigma : 0.8155525326728821 | done : False
episode : 57 | score_avg : -169.98879441738734 | loss : 0.0066233747638762 | sigma : 0.8454184532165527 | done : False
episode : 58 | score_avg : -173.0899149756486 | loss : -0.003322457894682884 | sigma : 0.889991283416748 | done : False
episode : 59 | score_avg : -175.88092347808376 | loss : -0.004682427737861872 | sigma : 0.9565731883049011 | done : False
episode : 60 | score_avg : -178.39283113027537 | loss : -0.005268402863293886 | sigma : 1.0381639003753662 | done : False
episode : 61 | score_avg : -177.90354801724783 | loss : 0.12021075934171677 | sigma : 1.1003901958465576 | done : False
episode : 62 | score_avg : -180.21319321552303 | loss : -0.005254247225821018 | sigma : 1.190007209777832 | done : False
episode : 63 | score_avg : -180.94187389397072 | loss : 0.09644102305173874 | sigma : 1.3087784051895142 | done : False
episode : 64 | score_avg : -182.19768650457365 | loss : 0.045744508504867554 | sigma : 1.4086374044418335 | done : False
episode : 65 | score_avg : -182.8779178541163 | loss : 0.08325712382793427 | sigma : 1.5556150674819946 | done : False
episode : 66 | score_avg : -183.7901260687047 | loss : 0.06255684047937393 | sigma : 1.7432849407196045 | done : False
episode : 67 | score_avg : -185.5111134618342 | loss : -0.010394486598670483 | sigma : 1.9362300634384155 | done : False
episode : 68 | score_avg : -187.0600021156508 | loss : -0.010679595172405243 | sigma : 2.1921818256378174 | done : False
episode : 69 | score_avg : -188.00400190408573 | loss : 0.0206132922321558 | sigma : 2.5092673301696777 | done : False
episode : 70 | score_avg : -186.25360171367717 | loss : 0.23437702655792236 | sigma : 2.757894992828369 | done : False
episode : 71 | score_avg : -187.72824154230946 | loss : -0.014874565415084362 | sigma : 3.1492998600006104 | done : False
episode : 72 | score_avg : -189.05541738807852 | loss : -0.017190566286444664 | sigma : 3.5567703247070312 | done : False
episode : 73 | score_avg : -190.24987564927068 | loss : -0.019007589668035507 | sigma : 3.9371256828308105 | done : False
episode : 74 | score_avg : -190.7248880843436 | loss : 0.026087190955877304 | sigma : 4.426070213317871 | done : False
episode : 75 | score_avg : -191.75239927590926 | loss : -0.02094883657991886 | sigma : 5.209181308746338 | done : False
episode : 76 | score_avg : -191.02715934831832 | loss : 0.09844154864549637 | sigma : 6.046884536743164 | done : False
episode : 77 | score_avg : -191.2744434134865 | loss : 0.031894419342279434 | sigma : 7.294510841369629 | done : False
episode : 78 | score_avg : -188.34699907213783 | loss : 0.2581850290298462 | sigma : 8.530229568481445 | done : False
episode : 79 | score_avg : -187.81229916492407 | loss : 0.10838443040847778 | sigma : 10.27457332611084 | done : False
episode : 80 | score_avg : -187.78106924843166 | loss : 0.06979821622371674 | sigma : 12.619789123535156 | done : False
episode : 81 | score_avg : -189.10296232358849 | loss : -0.03651280701160431 | sigma : 15.86690616607666 | done : False
episode : 82 | score_avg : -188.94266609122965 | loss : 0.060818396508693695 | sigma : 19.87853240966797 | done : False
episode : 83 | score_avg : -190.1483994821067 | loss : -0.04513293504714966 | sigma : 25.862707138061523 | done : False
episode : 84 | score_avg : -191.08355953389605 | loss : -0.03873584046959877 | sigma : 33.494319915771484 | done : False
episode : 85 | score_avg : -186.07520358050644 | loss : 0.37465208768844604 | sigma : 39.89543914794922 | done : False
episode : 86 | score_avg : -187.26768322245582 | loss : -0.03594669699668884 | sigma : 48.375911712646484 | done : False
episode : 87 | score_avg : -188.4909149002102 | loss : -0.04765879735350609 | sigma : 50.0 | done : False
episode : 88 | score_avg : -170.5418234101892 | loss : 11.709341049194336 | sigma : 50.0 | done : True
episode : 89 | score_avg : -167.1376410691703 | loss : 0.7658078074455261 | sigma : 50.0 | done : False
episode : 90 | score_avg : -170.52387696225327 | loss : -0.048608843237161636 | sigma : 50.0 | done : False
