episode : 80 | score_avg : -261.9948640084723 | loss : -0.04303104430437088 | done : False
episode : 81 | score_avg : -261.295377607625 | loss : -0.015804044902324677 | done : False
episode : 82 | score_avg : -260.4158398468625 | loss : 0.005031458102166653 | done : False
episode : 83 | score_avg : -283.67425586217627 | loss : -0.019996214658021927 | done : False
episode : 84 | score_avg : -285.05683027595865 | loss : 0.011383703909814358 | done : False
episode : 85 | score_avg : -288.4011472483628 | loss : -0.009500326588749886 | done : False
episode : 86 | score_avg : -285.06103252352653 | loss : -0.03336028754711151 | done : False
episode : 87 | score_avg : -288.1049292711739 | loss : 0.05212218686938286 | done : False
episode : 88 | score_avg : -284.34443634405653 | loss : -0.019668716937303543 | done : False
episode : 89 | score_avg : -281.8599927096509 | loss : -0.01998346671462059 | done : False
episode : 90 | score_avg : -280.0239934386858 | loss : 0.018503641709685326 | done : False
episode : 91 | score_avg : -277.0715940948172 | loss : 0.0013950103893876076 | done : False
episode : 92 | score_avg : -277.9144346853355 | loss : 0.014840546995401382 | done : False
episode : 93 | score_avg : -276.67299121680196 | loss : 0.02219596691429615 | done : False
episode : 94 | score_avg : -309.10569209512175 | loss : 9.990118980407715 | done : False
episode : 95 | score_avg : -312.7951228856096 | loss : 0.01935068517923355 | done : False
episode : 96 | score_avg : -311.26561059704864 | loss : -0.0015025300672277808 | done : False
episode : 97 | score_avg : -306.5890495373438 | loss : -0.04017496854066849 | done : False
episode : 98 | score_avg : -305.1301445836094 | loss : -0.0448637455701828 | done : False
episode : 99 | score_avg : -314.31713012524847 | loss : -0.030338797718286514 | done : False
episode : 100 | score_avg : -307.98541711272367 | loss : 0.045297592878341675 | done : False
episode : 101 | score_avg : -302.2368754014513 | loss : -0.006593887694180012 | done : False
episode : 102 | score_avg : -297.0631878613062 | loss : 0.04948069527745247 | done : False
episode : 103 | score_avg : -294.55686907517554 | loss : -0.028505811467766762 | done : False
episode : 104 | score_avg : -293.151182167658 | loss : 0.3546846807003021 | done : False
episode : 105 | score_avg : -288.88606395089226 | loss : -0.03476261347532272 | done : False
episode : 106 | score_avg : -285.0474575558031 | loss : -0.04210103303194046 | done : False
episode : 107 | score_avg : -283.0427118002228 | loss : -0.03038685955107212 | done : False
episode : 108 | score_avg : -284.2884406202005 | loss : -0.03156011179089546 | done : False
episode : 109 | score_avg : -283.95959655818046 | loss : 0.019499534741044044 | done : False
episode : 110 | score_avg : -283.2136369023624 | loss : 0.0019718853291124105 | done : False
episode : 111 | score_avg : -279.94227321212617 | loss : -0.023154975846409798 | done : False
episode : 112 | score_avg : -277.1480458909136 | loss : 0.007092982530593872 | done : False
episode : 113 | score_avg : -276.68324130182225 | loss : -0.005747666582465172 | done : False
episode : 114 | score_avg : -276.01491717164004 | loss : -0.02229541726410389 | done : False
episode : 115 | score_avg : -273.463425454476 | loss : -0.028639113530516624 | done : False
episode : 116 | score_avg : -271.1670829090284 | loss : -0.024073222652077675 | done : False
episode : 117 | score_avg : -269.35037461812556 | loss : -0.03272142633795738 | done : False
episode : 118 | score_avg : -267.465337156313 | loss : -0.0357087068259716 | done : False
episode : 119 | score_avg : -265.7688034406817 | loss : -0.04633006826043129 | done : False
episode : 120 | score_avg : -263.8419230966135 | loss : 0.008812911808490753 | done : False
episode : 121 | score_avg : -262.50773078695215 | loss : -0.04924211651086807 | done : False
episode : 122 | score_avg : -259.55695770825696 | loss : 0.14960713684558868 | done : True
episode : 123 | score_avg : -270.9012619374313 | loss : 0.15647245943546295 | done : False
episode : 124 | score_avg : -291.21113574368815 | loss : 0.08950363099575043 | done : False
episode : 125 | score_avg : -309.54002216931934 | loss : 0.03776857256889343 | done : False
episode : 126 | score_avg : -313.7860199523874 | loss : 0.7032102346420288 | done : False
episode : 127 | score_avg : -313.10741795714864 | loss : 0.3181036710739136 | done : False
episode : 128 | score_avg : -313.99667616143375 | loss : 0.001954931067302823 | done : False
episode : 129 | score_avg : -330.8470085452904 | loss : 0.05294455587863922 | done : False
episode : 130 | score_avg : -342.8623076907614 | loss : 0.033792100846767426 | done : False
episode : 131 | score_avg : -335.2260769216852 | loss : -0.001470638089813292 | done : False
episode : 132 | score_avg : -326.7534692295167 | loss : 0.13383549451828003 | done : False
episode : 133 | score_avg : -319.12812230656505 | loss : 0.007020642980933189 | done : False
episode : 134 | score_avg : -336.7153100759086 | loss : 0.024838123470544815 | done : False
episode : 135 | score_avg : -331.24377906831774 | loss : 0.11599849164485931 | done : False
episode : 136 | score_avg : -323.169401161486 | loss : 0.015766466036438942 | done : False
episode : 137 | score_avg : -316.3024610453374 | loss : 0.007401240989565849 | done : False
episode : 138 | score_avg : -310.57221494080363 | loss : 0.016504736617207527 | done : False
episode : 139 | score_avg : -306.7649934467233 | loss : 0.12517520785331726 | done : False
episode : 140 | score_avg : -303.58849410205096 | loss : 0.025061797350645065 | done : False
episode : 141 | score_avg : -298.47964469184586 | loss : 0.03088628314435482 | done : False
episode : 142 | score_avg : -293.68168022266127 | loss : 0.003462334629148245 | done : False
episode : 143 | score_avg : -269.6635122003952 | loss : 4.066473960876465 | done : False
episode : 144 | score_avg : -237.89716098035566 | loss : 0.9085400700569153 | done : False
episode : 145 | score_avg : -239.1574448823201 | loss : 0.0260483231395483 | done : False
episode : 146 | score_avg : -240.2917003940881 | loss : 0.01235093455761671 | done : False
episode : 147 | score_avg : -241.8625303546793 | loss : -0.021811222657561302 | done : False
episode : 148 | score_avg : -245.17627731921138 | loss : -0.010621258988976479 | done : False
episode : 149 | score_avg : -247.25864958729025 | loss : 3.736241706064902e-05 | done : False
episode : 150 | score_avg : -249.18278462856122 | loss : 0.009939529001712799 | done : False
episode : 151 | score_avg : -250.81450616570513 | loss : -0.0140626709908247 | done : False
episode : 152 | score_avg : -252.4830555491346 | loss : 0.022771621122956276 | done : False
episode : 153 | score_avg : -252.33474999422114 | loss : -0.0050575872883200645 | done : False
episode : 154 | score_avg : -254.05127499479903 | loss : -0.006705973297357559 | done : False
episode : 155 | score_avg : -237.34614749531912 | loss : 0.1729763150215149 | done : False
episode : 156 | score_avg : -238.6615327457872 | loss : -0.011153733357787132 | done : False
episode : 157 | score_avg : -240.0453794712085 | loss : 0.015001812018454075 | done : False
episode : 158 | score_avg : -241.09084152408766 | loss : -0.02886885404586792 | done : False
episode : 159 | score_avg : -246.4817573716789 | loss : -0.010966739617288113 | done : False
episode : 160 | score_avg : -246.88358163451102 | loss : 0.004915125668048859 | done : False
episode : 161 | score_avg : -247.24522347105994 | loss : 0.0017768722027540207 | done : False
episode : 162 | score_avg : -247.92070112395396 | loss : 0.0011459292145445943 | done : False
episode : 163 | score_avg : -249.97863101155858 | loss : -0.005967306904494762 | done : False
episode : 164 | score_avg : -250.03076791040274 | loss : 0.002250953344628215 | done : False
episode : 165 | score_avg : -250.87769111936248 | loss : -0.025788500905036926 | done : False
episode : 166 | score_avg : -255.63992200742624 | loss : -0.0059011951088905334 | done : False
episode : 167 | score_avg : -255.27592980668362 | loss : 0.02883712388575077 | done : False
episode : 168 | score_avg : -259.1483368260153 | loss : 0.005269384477287531 | done : False
episode : 169 | score_avg : -260.43350314341376 | loss : -0.009495639242231846 | done : False
episode : 170 | score_avg : -261.14015282907235 | loss : -0.02116081491112709 | done : False
episode : 171 | score_avg : -260.3261375461651 | loss : 0.018353067338466644 | done : False
episode : 172 | score_avg : -259.3435237915486 | loss : 0.005443396512418985 | done : False
episode : 173 | score_avg : -293.50917141239375 | loss : 9.99462890625 | done : False
episode : 174 | score_avg : -289.2082542711544 | loss : 0.012212615460157394 | done : False
episode : 175 | score_avg : -286.78742884403897 | loss : -0.00013665239384863526 | done : False
episode : 176 | score_avg : -284.2086859596351 | loss : 0.013452334329485893 | done : False
