episode : 0 | score_avg : -100 | loss : 0.3184604346752167 | sigma : 1.1141232252120972 | done : False
episode : 0 | score_avg : -68.31637608937791 | loss : 0.6531893610954285 | sigma : 1.0975170135498047 | done : False
frame over 100 | episode : 50 | score_avg : -75.14691449087077 | loss : 1.8665308952331543 | sigma : 1.0566270351409912 | done : False
frame over 100 | episode : 51 | score_avg : -75.80871203384788 | loss : 25.050504684448242 | sigma : 1.0449309349060059 | done : False
frame over 100 | episode : 52 | score_avg : -78.2278408304631 | loss : 0.1552586406469345 | sigma : 1.0460127592086792 | done : False
frame over 100 | episode : 53 | score_avg : -80.00067293538054 | loss : 0.1799653321504593 | sigma : 1.0536085367202759 | done : False
frame over 100 | episode : 54 | score_avg : -80.25714968511527 | loss : 11.518864631652832 | sigma : 1.0494422912597656 | done : False
frame over 100 | episode : 55 | score_avg : -81.62946278887824 | loss : 36.66747283935547 | sigma : 1.0412174463272095 | done : False
frame over 100 | episode : 56 | score_avg : -83.46651650999043 | loss : 0.0169583261013031 | sigma : 1.0377496480941772 | done : False
frame over 100 | episode : 57 | score_avg : -85.11986485899139 | loss : 1.2817435264587402 | sigma : 1.0363316535949707 | done : False
frame over 100 | episode : 58 | score_avg : -85.99914280704374 | loss : 4.802241802215576 | sigma : 1.0428524017333984 | done : False
frame over 100 | episode : 59 | score_avg : -87.39922852633937 | loss : -0.004504093434661627 | sigma : 1.0454833507537842 | done : False
frame over 100 | episode : 60 | score_avg : -88.65930567370543 | loss : -0.00033812213223427534 | sigma : 1.0437264442443848 | done : False
frame over 100 | episode : 61 | score_avg : -89.79337510633489 | loss : 4.853393077850342 | sigma : 1.0398083925247192 | done : False
frame over 100 | episode : 62 | score_avg : -90.1157756921422 | loss : 0.7590667605400085 | sigma : 1.033606767654419 | done : False
frame over 100 | episode : 63 | score_avg : -91.10419812292798 | loss : 0.037058208137750626 | sigma : 1.0271230936050415 | done : False
frame over 100 | episode : 64 | score_avg : -90.7071695098838 | loss : 0.3393283188343048 | sigma : 1.0368554592132568 | done : False
frame over 100 | episode : 65 | score_avg : -73.47447562701929 | loss : 2.6135120391845703 | sigma : 1.0432097911834717 | done : False
frame over 100 | episode : 66 | score_avg : -73.3679828428031 | loss : 0.491554856300354 | sigma : 1.0305523872375488 | done : False
frame over 100 | episode : 67 | score_avg : -75.7203589156555 | loss : 5.259582042694092 | sigma : 1.0302587747573853 | done : False
frame over 100 | episode : 68 | score_avg : -78.14832302408995 | loss : 1.434524655342102 | sigma : 1.0168286561965942 | done : False
frame over 100 | episode : 69 | score_avg : -80.01196239000097 | loss : 0.1450994461774826 | sigma : 1.020918607711792 | done : False
frame over 100 | episode : 70 | score_avg : -81.21098628588189 | loss : 12.203156471252441 | sigma : 1.0236427783966064 | done : False
frame over 100 | episode : 71 | score_avg : -83.0898876572937 | loss : 17.42428970336914 | sigma : 1.0240445137023926 | done : False
frame over 100 | episode : 72 | score_avg : -83.10152870534475 | loss : 1.8086638450622559 | sigma : 1.0292744636535645 | done : False
frame over 100 | episode : 73 | score_avg : -84.79137583481028 | loss : 0.02108597941696644 | sigma : 1.0315145254135132 | done : False
frame over 100 | episode : 74 | score_avg : -86.10370599388621 | loss : 0.13197709619998932 | sigma : 1.0372475385665894 | done : False
frame over 100 | episode : 75 | score_avg : -86.88782220651423 | loss : 0.3436339199542999 | sigma : 1.0379083156585693 | done : False
frame over 100 | episode : 76 | score_avg : -88.19903998586281 | loss : -0.0019363176543265581 | sigma : 1.044163465499878 | done : False
frame over 100 | episode : 77 | score_avg : -89.37913598727653 | loss : 0.7232339978218079 | sigma : 1.0515881776809692 | done : False
frame over 100 | episode : 78 | score_avg : -90.44122238854888 | loss : 0.026705598458647728 | sigma : 1.0564765930175781 | done : False
frame over 100 | episode : 79 | score_avg : -80.45957715074913 | loss : 2.7286479473114014 | sigma : 1.0599149465560913 | done : False
frame over 100 | episode : 80 | score_avg : -82.41361943567422 | loss : 0.6837756633758545 | sigma : 1.0624505281448364 | done : False
frame over 100 | episode : 81 | score_avg : -84.1722574921068 | loss : 0.07978741079568863 | sigma : 1.0718854665756226 | done : False
frame over 100 | episode : 82 | score_avg : -82.64070119275745 | loss : 15.567230224609375 | sigma : 1.0772126913070679 | done : False
frame over 100 | episode : 83 | score_avg : -79.62941188554694 | loss : 2.036261796951294 | sigma : 1.0850071907043457 | done : False
frame over 100 | episode : 84 | score_avg : -81.0448575333142 | loss : 4.427117824554443 | sigma : 1.077303171157837 | done : False
frame over 100 | episode : 85 | score_avg : -80.62421230513051 | loss : 1.586464762687683 | sigma : 1.0712703466415405 | done : False
frame over 100 | episode : 86 | score_avg : -82.00412222758978 | loss : 0.27376416325569153 | sigma : 1.0811461210250854 | done : False
frame over 100 | episode : 87 | score_avg : -83.58974462151025 | loss : 0.09266772866249084 | sigma : 1.0871713161468506 | done : False
frame over 100 | episode : 88 | score_avg : -85.23077015935922 | loss : 0.2837052047252655 | sigma : 1.0959868431091309 | done : False
frame over 300 | episode : 89 | score_avg : -60.3666606756252 | loss : 6.60678243637085 | sigma : 1.096157431602478 | done : False
frame over 100 | episode : 90 | score_avg : -64.32999460806268 | loss : 0.15930728614330292 | sigma : 1.0931130647659302 | done : False
frame over 100 | episode : 91 | score_avg : -67.8969951472564 | loss : -0.005396549124270678 | sigma : 1.0938490629196167 | done : False
frame over 100 | episode : 92 | score_avg : -71.10729563253076 | loss : 0.03265783190727234 | sigma : 1.0918391942977905 | done : False
frame over 100 | episode : 93 | score_avg : -73.99656606927769 | loss : 0.11531922966241837 | sigma : 1.0929713249206543 | done : False
frame over 100 | episode : 94 | score_avg : -76.59690946234993 | loss : 0.03989117965102196 | sigma : 1.0897315740585327 | done : False
frame over 100 | episode : 95 | score_avg : -78.68699483454702 | loss : 0.9031637907028198 | sigma : 1.0964908599853516 | done : False
