episode : 82 | score_avg : 11.76086809388342 | loss : 3.747840404510498 | done : True
episode : 83 | score_avg : 12.034781284495079 | loss : 5.715912818908691 | done : True
episode : 84 | score_avg : 12.231303156045572 | loss : 4.709530830383301 | done : True
episode : 85 | score_avg : 12.008172840441015 | loss : 50.439388275146484 | done : True
episode : 86 | score_avg : 12.207355556396914 | loss : 7.6081767082214355 | done : True
episode : 87 | score_avg : 12.136620000757222 | loss : 3.587448835372925 | done : True
episode : 88 | score_avg : 12.322958000681501 | loss : 6.402254104614258 | done : True
episode : 89 | score_avg : 12.090662200613352 | loss : 3.263082265853882 | done : True
episode : 90 | score_avg : 12.331595980552017 | loss : 4.349161624908447 | done : True
episode : 91 | score_avg : 11.848436382496816 | loss : 3.0287320613861084 | done : True
episode : 92 | score_avg : 12.113592744247136 | loss : 4.349122524261475 | done : True
episode : 93 | score_avg : 12.102233469822423 | loss : 13.18765926361084 | done : True
episode : 94 | score_avg : 11.792010122840182 | loss : 3.541820764541626 | done : True
episode : 95 | score_avg : 11.712809110556163 | loss : 3.97995924949646 | done : True
episode : 96 | score_avg : 11.791528199500547 | loss : 10.17020320892334 | done : True
episode : 97 | score_avg : 11.712375379550492 | loss : 3.5072929859161377 | done : True
episode : 98 | score_avg : 12.041137841595443 | loss : 5.137553691864014 | done : True
episode : 99 | score_avg : 11.537024057435898 | loss : 3.2058205604553223 | done : True
episode : 100 | score_avg : 11.48332165169231 | loss : 26.103769302368164 | done : True
episode : 101 | score_avg : 11.334989486523078 | loss : 50.61052703857422 | done : True
episode : 102 | score_avg : 11.50149053787077 | loss : 3.8546810150146484 | done : True
episode : 103 | score_avg : 11.551341484083693 | loss : 12.7710542678833 | done : True
episode : 104 | score_avg : 10.996207335675324 | loss : 2.930804491043091 | done : True
episode : 105 | score_avg : 10.996586602107792 | loss : 3.4472897052764893 | done : True
episode : 106 | score_avg : 11.096927941897015 | loss : 17.226015090942383 | done : True
episode : 107 | score_avg : 11.287235147707314 | loss : 8.511735916137695 | done : True
episode : 108 | score_avg : 11.308511632936582 | loss : 3.6978836059570312 | done : True
episode : 109 | score_avg : 11.327660469642925 | loss : 16.773210525512695 | done : True
episode : 110 | score_avg : 11.294894422678633 | loss : 25.6732177734375 | done : True
episode : 111 | score_avg : 11.26540498041077 | loss : 26.06562614440918 | done : True
episode : 112 | score_avg : 11.538864482369693 | loss : 4.715978622436523 | done : True
episode : 113 | score_avg : 11.734978034132723 | loss : 7.286301612854004 | done : True
episode : 114 | score_avg : 12.061480230719452 | loss : 5.167557716369629 | done : True
episode : 115 | score_avg : 12.055332207647506 | loss : 17.5322322845459 | done : True
episode : 116 | score_avg : 12.049798986882756 | loss : 3.397010564804077 | done : True
