episode : 38 | score_avg : -490.0063991625385 | loss : 0.0874132290482521 | done : False
episode : 39 | score_avg : -488.3057592462847 | loss : 1.2365649938583374 | done : False
episode : 40 | score_avg : -499.57518332165625 | loss : 9.999114990234375 | done : False
episode : 41 | score_avg : -477.36766498949066 | loss : 2.0348832607269287 | done : False
episode : 42 | score_avg : -478.5808984905416 | loss : -0.018056804314255714 | done : False
episode : 43 | score_avg : -490.8228086414875 | loss : 10.088018417358398 | done : False
episode : 44 | score_avg : -501.84052777733876 | loss : 10.509866714477539 | done : False
episode : 45 | score_avg : -494.0564749996049 | loss : 1.1475809812545776 | done : False
episode : 46 | score_avg : -492.80082749964447 | loss : 0.5012147426605225 | done : False
episode : 47 | score_avg : -448.57074474968005 | loss : 11.093961715698242 | done : True
episode : 48 | score_avg : -416.3136702747121 | loss : 8.793577194213867 | done : False
episode : 49 | score_avg : -403.1323032472409 | loss : 3.289689302444458 | done : False
episode : 50 | score_avg : -410.71907292251683 | loss : 0.18690168857574463 | done : False
episode : 51 | score_avg : -395.69716563026515 | loss : 1.3751972913742065 | done : False
episode : 52 | score_avg : -382.8774490672386 | loss : 0.33600547909736633 | done : False
episode : 53 | score_avg : -369.83970416051477 | loss : 1.1063053607940674 | done : False
episode : 54 | score_avg : -360.1057337444633 | loss : 0.12227333337068558 | done : False
episode : 55 | score_avg : -353.395160370017 | loss : 0.6449741125106812 | done : False
episode : 56 | score_avg : -344.6056443330153 | loss : 0.021138953045010567 | done : False
episode : 57 | score_avg : -336.9450798997138 | loss : 0.4953267574310303 | done : False
episode : 58 | score_avg : -334.5005719097424 | loss : 0.4090915024280548 | done : False
episode : 59 | score_avg : -329.1505147187682 | loss : 0.028762539848685265 | done : False
episode : 60 | score_avg : -344.8354632468914 | loss : 0.06496427208185196 | done : False
episode : 61 | score_avg : -357.8019169222022 | loss : 0.0759306401014328 | done : False
episode : 62 | score_avg : -367.521725229982 | loss : 0.624054491519928 | done : False
episode : 63 | score_avg : -378.6195527069838 | loss : 0.20346957445144653 | done : False
episode : 64 | score_avg : -367.7075974362854 | loss : 0.12733273208141327 | done : False
episode : 65 | score_avg : -330.63683769265685 | loss : 107.03995513916016 | done : True
episode : 66 | score_avg : -357.6731539233912 | loss : 10.040323257446289 | done : False
episode : 67 | score_avg : -348.4058385310521 | loss : 0.16638484597206116 | done : False
episode : 68 | score_avg : -339.3652546779469 | loss : 0.004336832091212273 | done : False
episode : 69 | score_avg : -354.1287292101522 | loss : 0.7121999859809875 | done : False
episode : 70 | score_avg : -368.41585628913697 | loss : -0.021376853808760643 | done : False
episode : 71 | score_avg : -361.3742706602233 | loss : 0.5784372091293335 | done : False
episode : 72 | score_avg : -353.536843594201 | loss : 0.38217443227767944 | done : False
episode : 73 | score_avg : -362.68315923478093 | loss : 0.110555499792099 | done : False
episode : 74 | score_avg : -354.21484331130284 | loss : 0.3983578085899353 | done : False
episode : 75 | score_avg : -345.29335898017257 | loss : -0.007175574544817209 | done : False
episode : 76 | score_avg : -337.51402308215535 | loss : -0.00984013918787241 | done : False
episode : 77 | score_avg : -329.1626207739398 | loss : -0.02189616672694683 | done : False
episode : 78 | score_avg : -324.9963586965458 | loss : 0.006073545198887587 | done : False
episode : 79 | score_avg : -318.74672282689124 | loss : 0.05666889250278473 | done : False
episode : 80 | score_avg : -313.17205054420214 | loss : 0.015762275084853172 | done : False
episode : 0 | score_avg : -487.5 | loss : 0.06239665672183037 | done : False
episode : 1 | score_avg : -498.85 | loss : 10.042774200439453 | done : False
episode : 2 | score_avg : -463.96500000000003 | loss : 0.2707231342792511 | done : False
episode : 3 | score_avg : -477.5185 | loss : 9.994625091552734 | done : False
episode : 4 | score_avg : -489.86665000000005 | loss : 10.02086353302002 | done : False
episode : 5 | score_avg : -490.37998500000003 | loss : -0.020730923861265182 | done : False
episode : 6 | score_avg : -488.5919865 | loss : 0.01096886582672596 | done : False
episode : 7 | score_avg : -467.48278785 | loss : 0.1130395159125328 | done : False
episode : 8 | score_avg : -480.8345090650001 | loss : 10.481072425842285 | done : False
episode : 9 | score_avg : -411.4510581585001 | loss : 0.1659890115261078 | done : False
episode : 10 | score_avg : -430.4059523426501 | loss : 10.040010452270508 | done : False
episode : 11 | score_avg : -447.4653571083851 | loss : 10.19333553314209 | done : False
episode : 12 | score_avg : -440.8188213975466 | loss : 0.20701341331005096 | done : False
episode : 13 | score_avg : -386.38693925779194 | loss : 0.37904372811317444 | done : False
episode : 14 | score_avg : -407.84824533201277 | loss : 10.088750839233398 | done : False
