episode : 58 | score_avg : 3.5968371187724206 | loss : 102.57005310058594 | sigma : 1.1965582370758057 | done : True
episode : 59 | score_avg : 11.93715340689518 | loss : 1.1043740510940552 | sigma : 1.199111819267273 | done : False
episode : 60 | score_avg : 8.59343806620566 | loss : 21.733510971069336 | sigma : 1.1919194459915161 | done : True
episode : 61 | score_avg : 9.984094259585095 | loss : 0.8160536289215088 | sigma : 1.1830904483795166 | done : False
episode : 62 | score_avg : 29.085684833626587 | loss : 1.3460689783096313 | sigma : 1.1680270433425903 | done : False
episode : 63 | score_avg : 46.27711635026393 | loss : 0.0941389948129654 | sigma : 1.1641664505004883 | done : False
episode : 64 | score_avg : 39.64940471523754 | loss : 368.8357849121094 | sigma : 1.1566334962844849 | done : True
episode : 65 | score_avg : 37.33446424371378 | loss : 1.3959407806396484 | sigma : 1.1580404043197632 | done : False
episode : 66 | score_avg : 32.6010178193424 | loss : 177.49343872070312 | sigma : 1.1546261310577393 | done : True
episode : 67 | score_avg : 27.390916037408164 | loss : 0.5553553104400635 | sigma : 1.1495274305343628 | done : False
episode : 68 | score_avg : 44.75182443366735 | loss : 0.9679512977600098 | sigma : 1.1465935707092285 | done : False
episode : 69 | score_avg : 37.37664199030062 | loss : 56.4742431640625 | sigma : 1.150785207748413 | done : True
episode : 70 | score_avg : 51.18897779127056 | loss : 0.24584175646305084 | sigma : 1.1518770456314087 | done : False
episode : 71 | score_avg : 66.1700800121435 | loss : 0.0022140543442219496 | sigma : 1.157921314239502 | done : False
episode : 72 | score_avg : 58.10307201092915 | loss : 1160.3299560546875 | sigma : 1.1778221130371094 | done : True
episode : 73 | score_avg : 72.39276480983624 | loss : -0.00665684137493372 | sigma : 1.2044185400009155 | done : False
episode : 74 | score_avg : 76.70348832885261 | loss : 0.601652204990387 | sigma : 1.2405022382736206 | done : False
episode : 75 | score_avg : 89.13313949596736 | loss : -0.006874420680105686 | sigma : 1.294434666633606 | done : False
episode : 76 | score_avg : 92.66982554637063 | loss : 0.5471845269203186 | sigma : 1.3415749073028564 | done : False
episode : 77 | score_avg : 98.70284299173356 | loss : 0.34253591299057007 | sigma : 1.3959444761276245 | done : False
episode : 78 | score_avg : 101.73255869256022 | loss : 0.5152052044868469 | sigma : 1.4757351875305176 | done : False
episode : 79 | score_avg : 89.0593028233042 | loss : 145.40020751953125 | sigma : 1.510258436203003 | done : True
episode : 80 | score_avg : 77.55337254097378 | loss : 166.89073181152344 | sigma : 1.501740574836731 | done : True
episode : 81 | score_avg : 68.39803528687641 | loss : 956.7926025390625 | sigma : 1.5004098415374756 | done : True
episode : 82 | score_avg : 81.65823175818878 | loss : -0.0032302062027156353 | sigma : 1.522581934928894 | done : False
episode : 83 | score_avg : 70.5424085823699 | loss : 179.32948303222656 | sigma : 1.593464970588684 | done : True
episode : 84 | score_avg : 83.58816772413292 | loss : -0.008643146604299545 | sigma : 1.6503098011016846 | done : False
episode : 85 | score_avg : 73.12935095171963 | loss : 427.4831237792969 | sigma : 1.707073450088501 | done : True
episode : 86 | score_avg : 62.96641585654766 | loss : 104.3829345703125 | sigma : 1.7023149728775024 | done : True
episode : 87 | score_avg : 56.769774270892896 | loss : 70.01628112792969 | sigma : 1.705102562904358 | done : True
episode : 88 | score_avg : 49.092796843803605 | loss : 2.5894877910614014 | sigma : 1.7079509496688843 | done : True
episode : 89 | score_avg : 58.13351715942325 | loss : 0.548786461353302 | sigma : 1.7211748361587524 | done : False
episode : 90 | score_avg : 50.12016544348092 | loss : 180.1073455810547 | sigma : 1.7676599025726318 | done : True
episode : 91 | score_avg : 52.908148899132826 | loss : 0.8498330116271973 | sigma : 1.7882108688354492 | done : False
episode : 92 | score_avg : 67.71733400921954 | loss : -0.009940540418028831 | sigma : 1.86556875705719 | done : False
episode : 93 | score_avg : 58.59560060829759 | loss : 299.8290100097656 | sigma : 1.9314756393432617 | done : True
episode : 94 | score_avg : 50.48604054746783 | loss : 250.61529541015625 | sigma : 1.9311093091964722 | done : True
episode : 95 | score_avg : 43.28743649272105 | loss : 166.81597900390625 | sigma : 1.9286941289901733 | done : True
episode : 96 | score_avg : 58.458692843448944 | loss : 0.028714526444673538 | sigma : 1.9864708185195923 | done : False
episode : 97 | score_avg : 50.16282355910405 | loss : 126.63451385498047 | sigma : 2.082461357116699 | done : True
episode : 98 | score_avg : 62.09654120319364 | loss : 0.18394960463047028 | sigma : 2.1175012588500977 | done : False
episode : 99 | score_avg : 54.58688708287428 | loss : 62.65116500854492 | sigma : 2.217414617538452 | done : True
episode : 100 | score_avg : 69.22819837458685 | loss : -0.012486066669225693 | sigma : 2.3168833255767822 | done : False
episode : 101 | score_avg : 60.55537853712817 | loss : 27.095109939575195 | sigma : 2.4320926666259766 | done : True
episode : 102 | score_avg : 74.59984068341535 | loss : -0.011346625164151192 | sigma : 2.5274758338928223 | done : False
episode : 103 | score_avg : 87.23985661507382 | loss : -0.015585088171064854 | sigma : 2.855222702026367 | done : False
episode : 104 | score_avg : 75.91587095356644 | loss : 2.912001609802246 | sigma : 3.054931402206421 | done : True
episode : 105 | score_avg : 88.4242838582098 | loss : -0.015258022584021091 | sigma : 3.238279342651367 | done : False
episode : 106 | score_avg : 77.88185547238882 | loss : 55.48771286010742 | sigma : 3.5072672367095947 | done : True
episode : 107 | score_avg : 68.09366992514994 | loss : 13.706100463867188 | sigma : 3.5164217948913574 | done : True
episode : 108 | score_avg : 58.93430293263494 | loss : 4.167266845703125 | sigma : 3.517054319381714 | done : True
episode : 109 | score_avg : 73.14087263937145 | loss : -0.011705639772117138 | sigma : 3.6454601287841797 | done : False
episode : 110 | score_avg : 64.12678537543431 | loss : 3.7682321071624756 | sigma : 3.9055583477020264 | done : True
episode : 111 | score_avg : 55.56410683789088 | loss : 13.194846153259277 | sigma : 3.920745849609375 | done : True
episode : 112 | score_avg : 70.1076961541018 | loss : -0.015138172544538975 | sigma : 4.028087615966797 | done : False
episode : 113 | score_avg : 64.24692653869162 | loss : 12.089530944824219 | sigma : 4.279934406280518 | done : True
episode : 114 | score_avg : 76.57223388482247 | loss : 0.0533410869538784 | sigma : 4.428197860717773 | done : False
episode : 115 | score_avg : 68.11501049634022 | loss : 19.294570922851562 | sigma : 4.70291805267334 | done : True
episode : 116 | score_avg : 79.7535094467062 | loss : 0.12568245828151703 | sigma : 4.84135627746582 | done : False
